%% IEEE-118 bus system
nbus = 118;
Sbase = 100; %% MVA
wb = 2*pi*50; %% rad/s

%%      |  From_Bus |  T_ Bus  |   R_pu    |   X_pu     |     B_pu
branch_data=[
                0         1      0.03030    0.09990    0.02117
                0         2      0.01290    0.04240    0.00902
                3         4      0.00176    0.00798    0.00175
                2         4      0.02410    0.10800    0.02367
                4         5      0.01190    0.05400    0.01188
                5         6      0.00459    0.02080    0.00458
                7         8      0.00244    0.03050    0.96833
                8         9      0.00258    0.03220    1.02500
                3        10      0.02090    0.06880    0.01457
                4        10      0.02030    0.06820    0.01448
               10        11      0.00595    0.01960    0.00418
                1        11      0.01870    0.06160    0.01310
                2        11      0.04840    0.16000    0.03383
                6        11      0.00862    0.03400    0.00728
               10        12      0.02225    0.07310    0.01563
               11        13      0.02150    0.07070    0.01513
               12        14      0.07440    0.24440    0.05223
               13        14      0.05950    0.19500    0.04183
               11        15      0.02120    0.08340    0.01783
               14        16      0.01320    0.04370    0.03700
               15        16      0.04540    0.18010    0.03883
               16        17      0.01230    0.05050    0.01082
               17        18      0.01119    0.04930    0.00952
               18        19      0.02520    0.11700    0.02483
               14        18      0.01200    0.03940    0.00842
               19        20      0.01830    0.08490    0.01800
               20        21      0.02090    0.09700    0.02050
               21        22      0.03420    0.15900    0.03367
               22        23      0.01350    0.04920    0.04150
               22        24      0.01560    0.08000    0.07200
               24        26      0.03180    0.16300    0.14700
               26        27      0.01913    0.08550    0.01800
               27        28      0.02370    0.09430    0.01983
                7        29      0.00431    0.05040    0.42833
               25        29      0.00799    0.08600    0.75667
               16        30      0.04740    0.15630    0.03325
               28        30      0.01080    0.03310    0.00692
               22        31      0.03170    0.11530    0.09775
               30        31      0.02980    0.09850    0.02092
               26        31      0.02290    0.07550    0.01605
               14        32      0.03800    0.12440    0.02662
               18        33      0.07520    0.24700    0.05267
               34        35      0.00224    0.01020    0.00223
               34        36      0.01100    0.04970    0.01098
               32        36      0.04150    0.14200    0.03050
               33        35      0.00871    0.02680    0.00473
               33        36      0.00256    0.00940    0.00820
               36        38      0.03210    0.10600    0.02250
               36        39      0.05930    0.16800    0.03500
               29        37      0.00464    0.05400    0.35167
               38        39      0.01840    0.06050    0.01293
               39        40      0.01450    0.04870    0.01018
               39        41      0.05550    0.18300    0.03883
               40        41      0.04100    0.13500    0.02867
               42        43      0.06080    0.24540    0.05057
               33        42      0.04130    0.16810    0.03522
               43        44      0.02240    0.09010    0.01867
               44        45      0.04000    0.13560    0.02767
               45        46      0.03800    0.12700    0.02633
               45        47      0.06010    0.18900    0.03933
               46        48      0.01910    0.06250    0.01337
               41        48      0.07150    0.32300    0.07167
               41        48      0.07150    0.32300    0.07167
               44        48      0.06840    0.18600    0.03700
               47        48      0.01790    0.05050    0.01048
               48        49      0.02670    0.07520    0.01562
               48        50      0.04860    0.13700    0.02850
               50        51      0.02030    0.05880    0.01163
               51        52      0.04050    0.16350    0.03382
               52        53      0.02630    0.12200    0.02583
               48        53      0.07300    0.28900    0.06150
               48        53      0.08690    0.29100    0.06083
               53        54      0.01690    0.07070    0.01683
               53        55      0.00275    0.00955    0.00610
               54        55      0.00488    0.01510    0.00312
               55        56      0.03430    0.09660    0.02017
               49        56      0.04740    0.13400    0.02767
               55        57      0.03430    0.09660    0.02017
               50        57      0.02550    0.07190    0.01490
               53        58      0.05030    0.22930    0.04983
               55        58      0.08250    0.25100    0.04742
               55        58      0.08030    0.23900    0.04467
               54        58      0.04739    0.21580    0.04705
               58        59      0.03170    0.14500    0.03133
               58        60      0.03280    0.15000    0.03233
               59        60      0.00264    0.01350    0.01213
               59        61      0.01230    0.05610    0.01223
               60        61      0.00824    0.03760    0.00817
               62        63      0.00172    0.02000    0.18000
               37        64      0.00901    0.09860    0.87167
               63        64      0.00269    0.03020    0.31667
               48        65      0.01800    0.09190    0.02067
               48        65      0.01800    0.09190    0.02067
               61        65      0.04820    0.21800    0.04817
               61        66      0.02580    0.11700    0.02583
               65        66      0.02240    0.10150    0.02235
               46        68      0.08440    0.27780    0.05910
               48        68      0.09850    0.32400    0.06900
               68        69      0.03000    0.12700    0.10167
               23        69      0.00221    0.41150    0.08498
               69        70      0.00882    0.03550    0.00732
               23        71      0.04880    0.19600    0.04067
               70        71      0.04460    0.18000    0.03703
               70        72      0.00866    0.04540    0.00982
               69        73      0.04010    0.13230    0.02807
               69        74      0.04280    0.14100    0.03000
               68        74      0.04050    0.12200    0.10333
               73        74      0.01230    0.04060    0.00862
               75        76      0.04440    0.14800    0.03067
               68        76      0.03090    0.10100    0.08650
               74        76      0.06010    0.19990    0.04148
               76        77      0.00376    0.01240    0.01053
               77        78      0.00546    0.02440    0.00540
               76        79      0.01700    0.04850    0.03933
               76        79      0.02940    0.10500    0.01900
               78        79      0.01560    0.07040    0.01558
               76        81      0.02980    0.08530    0.06812
               81        82      0.01120    0.03665    0.03163
               82        83      0.06250    0.13200    0.02150
               82        84      0.04300    0.14800    0.02900
               83        84      0.03020    0.06410    0.01028
               84        85      0.03500    0.12300    0.02300
               84        87      0.02000    0.10200    0.02300
               84        88      0.02390    0.17300    0.03917
               87        88      0.01390    0.07120    0.01612
               88        89      0.05180    0.18800    0.04400
               88        89      0.02380    0.09970    0.08833
               89        90      0.02540    0.08360    0.01783
               88        91      0.00990    0.05050    0.04567
               88        91      0.03930    0.15810    0.03450
               90        91      0.03870    0.12720    0.02723
               91        92      0.02580    0.08480    0.01817
               91        93      0.04810    0.15800    0.03383
               92        93      0.02230    0.07320    0.01563
               93        94      0.01320    0.04340    0.00925
               79        95      0.03560    0.18200    0.04117
               81        95      0.01620    0.05300    0.04533
               93        95      0.02690    0.08690    0.01917
               79        96      0.01830    0.09340    0.02117
               79        97      0.02380    0.10800    0.02383
               79        98      0.04540    0.20600    0.04550
               91        99      0.06480    0.29500    0.03933
               93        99      0.01780    0.05800    0.05033
               94        95      0.01710    0.05470    0.01228
               95        96      0.01730    0.08850    0.02000
               97        99      0.03970    0.17900    0.03967
               98        99      0.01800    0.08130    0.01800
               99       100      0.02770    0.12620    0.02733
               91       101      0.01230    0.05590    0.01220
              100       101      0.02460    0.11200    0.02450
